calibs_file,calibs_path,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,n_corners,row_number,temporal_step,north,center,with_distortion,blur,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20220304_calibration_B08_B11.mov,2022_02_LU_AllotheticVsIdiothetic_shift_midroll_run01,20220304_calibration_B08_B11.mov,9.0,55.0,9.0,3.9,"(5, 8)",1,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_shift_midroll_run01/20220304_calibration_B08_B11.mov,2022-03-10T09:37:16.0,,,23.0,0.7311843081289902,0.08513757564767617,0.13046596835882096,4.319220905857732e-13
20221221_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221221_calibration.MTS,5.0,29.0,11.0,3.9,"(5, 8)",2,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221221_calibration.MTS,2022-12-21T11:23:57.0,,,12.0,0.7626383780476991,0.08353569154841155,0.14493918558984112,5.336978023569559e-13
20220308_calibration_B01_B05.mov,2022_02_LU_AllotheticVsIdiothetic_shift_dance_run01,20220308_calibration_B01_B05.mov,41.0,104.0,103.0,3.9,"(5, 8)",3,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_shift_dance_run01/20220308_calibration_B01_B05.mov,2022-03-10T10:09:45.0,,,33.0,0.7757982413262123,0.08632241708378278,0.13232073429359023,4.719007064248758e-13
20220318_calibration.mov,2022_02_LU_AllotheticVsIdiothetic_dark_dance,20220318_calibration.mov,0.0,73.0,2.0,3.9,"(5, 8)",4,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_dance/20220318_calibration.mov,2022-03-21T13:05:23.0,,,37.0,0.7388819302124737,0.07746534772767547,0.11951056497092671,4.580141516559394e-13
20220324_calibration.mov,2022_02_LU_AllotheticVsIdiothetic_dark_dance,20220324_calibration.mov,9.0,60.0,11.0,3.9,"(5, 8)",5,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_dance/20220324_calibration.mov,2022-03-25T11:15:30.0,,,27.0,0.8118881183065421,0.08551339350876153,0.13054936000807973,4.678426169464523e-13
20221220_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221220_calibration.mov,18.0,39.0,23.0,3.9,"(5, 8)",6,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221220_calibration.MTS,2022-12-20T14:15:23.0,,,11.0,0.7415040639548741,0.08166107520331595,0.1469918584495015,5.851755304129774e-13
20221222_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20221222_calibration.MTS,6.0,50.0,8.0,3.9,"(5, 8)",7,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20221222_calibration.MTS,2022-12-22T11:16:28.0,,,20.0,0.7611557835217986,0.0657672787365013,0.10162783715268003,5.220687581332634e-13
20230105_calibration.MTS,2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10,20230105_calibration.MTS,50.0,92.0,71.0,3.9,"(5, 8)",8,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_12_LU_AllotheticVsIdiothetic_dark_midroll_run10/20230105_calibration.MTS,2023-01-05T11:28:37.0,,,17.0,0.7490240681414109,0.07867205246737127,0.13196309625868047,3.9400394629816627e-13
20220413_calibration.MTS,2022_02_LU_AllotheticVsIdiothetic_dark_midroll_run01,20220413_calibration.MTS,23.0,76.0,30.0,3.9,"(5, 8)",9,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2022_02_LU_AllotheticVsIdiothetic_dark_midroll_run01/20220413_calibration.MTS,2022-04-13T09:06:39.0,,,28.0,0.7255557385185933,0.08755613709211832,0.13521038236256097,4.691508139238376e-13
20250407_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250407_calibration.MTS,18.0,96.0,22.0,4.0,"(6, 9)",10,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250407_calibration.MTS,2025-04-07T13:33:58.0,,,39.0,0.8017602348005771,0.06923378373144234,0.09105917605617224,4.309048606293213e-13
20250408_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250408_calibration.MTS,14.0,88.0,16.0,4.0,"(6, 9)",11,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250408_calibration.MTS,2025-04-08T09:39:23.0,,,36.0,0.988270358073669,0.0918197056134118,0.10411127973870193,4.5322605937651287e-13
20250409_calibration.MTS,2025_04_LU_AllotheticVsIdiothetic,20250409_calibration.MTS,14.0,94.0,16.0,4.0,"(6, 9)",12,2.0,,,true,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_indoors/2025_04_LU_AllotheticVsIdiothetic/20250409_calibration.MTS,2025-04-09T09:19:48.0,,,35.0,1.04303067147097,0.0878769375762558,0.11467751330142947,3.9995230280118564e-13
